,summary,title,text
28,greet your pets . take special time each day to interact with your pets . wipeclean up accidents . give your pets a safe place to travel .,how to keep your pets happy,"even if you have a busy schedule and return home late , make sure to call out to your pets . if you have a dog , he will probably be all over you within seconds of your arrival unless hes busy trying to dig out a bone from his favourite hidden place , your couch . calling out to your pets generates a positive attitude towards them and they feel less threatened . if you have a lot of pets , call out their names one after the other . kittens usually do not respond if they are asleep , so you might need to respect that but they will scurry towards you if they suspect cat treats in the grocery bags you just bought in . remind them that they were missed . even 20 minutes will help them feel taken care of . for more active pets , a walk might be a good idea if your cat has peed on your favourite luggage bag , wipe it clean . there is nothing much you can do about it , except try to take away the pungent smell from the luggage , beds or linen they tend to soil . the very best and most effective cleanser would be bicarbonate soda andor a little white vinegar . you can try a solution of a little detergent mixed with bicarbonate soda a few drops of bleach , a tablespoon of vinegar , 5 drops of dettol , 2 tablespoons of bicarbonate soda and oodles of water . cats cannot be screamed at , because they simply wont understand . they will know that you are angry for some reason and rubbing their snouts on the soiled area can repeat their behaviour . carry your cats or kittens to the litter tray and be gentle with them . soon they will learn . dogs love to travel , but only if they get to ride shot - gun , so invest in a proper and spacey carrier box . kittens like to sneak into dark corners within the car and this can be pretty hazardous if your kittens slip towards the food pedestals . beware , invest in spacey and cosy carrier box ."
29,"consider time spent caring for your pets . calculate space requirements for your pets . make sure you have the ability to care for your pets . count the number of pets you already have . create a budget . consider what you could spend your money on without pets . make sure all your needs are being met . pay for medical care . find out what the rules are . check city , county , and state laws . make sure all pets are licensed . consider any children in the house . be courteous of others . be aware of pet hoarding . find a new home for excess pets . volunteer or give money to support animal rescue groups or shelters .",how to know when you have too many pets,"cleaning , feeding , grooming , exercising , and ensuring a supply of fresh water is available for your animals takes time . see how long it takes you each day to properly care for all the animals you own . compare this with the amount of free time you have available after other obligations are met , such as work , school , family time , etc . make sure you wont be neglecting another area of your life to care for all your animals . always remember to take care of your pets . if you dont have time to take care of them all or dont remember which ones you have taken care of that day , you may have to get rid of some of them . some animal types will require different maintenance . a long - haired dog , for example , probably needs to be brushed daily , while a cat can groom himself . bird and hamster cages need to be cleaned out and disinfected often , with soiled bedding removed regularly . be sure to consider the total amount of time you spend on all caretaking tasks for each animal you own each day , week , and month . the amount of free time you have available and are willing to spend caring for pets will determine how much time you spend with them . however , if it takes over two to three hours to take care of all your animals every day , then you may already have too many pets . consider what your living arrangements are —how large is the living area and yard space you have for your animals if you live in a small upstairs apartment without a yard , then take that into account when thinking about how many animals you can house . if you live out in the country on several acres , then you can probably keep more animals . remember that each animal needs to have enough room to walk around and not be in a cramped space . while space definitely needs to be considered so that everyone can live together comfortably , time is the more important factor here . if you have the time to walk your dogs , then providing a large area to run in is not as important as making sure you can take them for walks every day to meet their exercise needs . your health status is an important factor to consider when getting more pets . be aware of what you can and cannot handle without assistance . if you have difficulty getting around on your own , another pet may not be the best idea . also , consider your mental health status . depression can make it very difficult to care for yourself as well as pets . your animals rely on you , so not taking on more than you can handle is very important for everyones wellbeing . animals can cause stress and contribute to mental health problems , such as anxiety . you are responsible for your pets . the more animals you have , the more their needs , health issues and behavior can weigh on you . though the number of pets you have can give you an idea of whether you already have a lot , the resources that you have available are more important than the actual number of animals you own . you need to be able to care for and provide an enriching environment for all your animals so that they can be happy and bring you joy as companions instead of more life stress . consider what species of animals you have as well as individual temperaments and group sexual dynamics before getting another pet . overcrowding may have a negative effect on the pets you already have . for example , its recognized that in household with five cats or more there is a high likelihood of inappropriate spraying in order to mark territory . this is because the cats view the presence of other cats as a threat . the more cats , the bigger the perceived threat . so consider whether or not its fair to take on another pet if it adds to the stress of your existing pets . if you cant count all your pets , or lose count , you have too many pets and shouldnt get any more . while some people may look down on a person with 10 cats , as long as the owner can provide a sanitary place to live , afford medical care and emergency services for each cat as well as meet their own needs and pay bills , then there isnt a problem . the pack mentality can increase as you get more dogs , and this can cause more behavioral problems because the social dynamics become more complex and your ability to give attention to each animal is lessened . mixing male and female animals can increase competition . hormones , territorial tendencies , and breeding behavior all contribute to problems you will have to deal with . keep this in mind before adding new pets to the ones you already have . write down your expected expenses and income for the month . use bank statements , receipts , and bills to help determine what youre spending every month . include your house or rent payment , car payments , insurance , groceries , gas , utilities , and other spending . be sure to include all the expenses related to your pets , such as food , grooming , toys , bedding , supplies , medications , and healthcare costs . doing this will allow you to see how much you are spending on your pets every month . consider how adding another pet will change these numbers . is it something you still want to do looking at the numbers , what could you afford if you didnt have so many pets look at yearling savings as well as monthly . this can really show you whether another pet is worth it or not . if you didnt have pets , could you increase your entertainment costs or pay for a car could you take that trip youve been wanting to take now , think about the monthly and yearly costs associated with getting another pet . what will you have to cut out of your budget and lose dont skip meals to pay for your cats litter . make sure you get the nutrition you need and can pay your bills on time . if youre regularly making late rent payments or not going to the doctor so you can buy your dogs food , then you probably dont need another pet . medical care for animals can be expensive — sometimes thousands of dollars a visit . youll want to be able to save up money regularly in case you need to pay for emergency care or buy prescription medications for your animals . you need to be financially prepared for each animal that you own . keep up to date with shots . many young animals need a series of vaccinations the first year and regular rabies vaccinations after that . if you have multiple animals , pet insurance may be a good option . be sure you can make your payments every month and pay any remaining balances for each pet . your apartment or neighborhood may have rules that dictate the size , breed , and number of animals you can have . check your lease , talk to your landlord or your neighborhood association to find out if there is a limit to how many animals you can keep on your property . your local animal control and zoning laws probably dictate how many animals you can keep on your property . governing bodies do this in order to prevent unsanitary , unhealthy conditions for residents . you will want to call animal control or talk to your city or county administrative office to find out what the local laws are so you can remain in compliance . pet hoarding , or having too many pets than you can take care of , is likely in violation of your state , city , county , or other local health and zoning laws . you could lose your pets and even your house . many cities and counties require animals to be registered and licensed . in order to license pets , the pet often has to be spayed or neutered or a breeder license purchased and all shots be up to date . you can be fined or jailed if you do not have all your pets legally licensed . because you are responsible for your pets and your children , having too many pets can compromise your ability to care for your children . if you cant keep your property and home clean or neglect your animals , you can be charged with child neglect or endangerment as well . make sure your children are taken care of before you consider getting anymore pets . the more animals you have , the more odors and noise they create . dont get so many pets that your neighbors start complaining . the size of your residence will play a factor in this as well — an apartment is going to be right next to another apartment , whereas you probably have some space between houses . many apartments and cities have noise ordinances . check with yours to make sure that adding another barking dog wont be a problem . some people have a mental illness that causes them to have more than the typical number of pets . they are unable to meet minimal care requirements and cannot recognize that they have a problem — even when animals become ill or die . you will need to contact your local police or health department or humane society if you or someone you know suffers from this condition . the unsanitary conditions of pet hoarding also negatively affect the community by increasing the risk of fire , creating poor air quality , attracting pests , and encouraging the transmission of infectious diseases . it is in your best interest to report suspected pet hoarding cases . when animals do not have access to enough food , live in unhygienic conditions or dont get medical care , its considered to be animal cruelty . if you suspect you may be a pet hoarder , seek professional help right away . if you find that you cant support the pets you have or take care of them , then you need to give up some of them . you and your animals all deserve to have a good quality of life . if you can no longer give them the attention , time , space , or provide the food or medical care that they need , you must allow them a chance to get the care they deserve with someone else . friends , family members , and co - workers might be able to take one off your hands . if not , there are many rescue groups , shelters , and animal sanctuaries that can help . put an add up in your local paper , at a local pet shop , feed store , or on an online site like craigslist . com for the animals you need to give up . if you can no longer take care of extra animals , you can still help out in other ways . support documented 501c3 corporations with a reputation for providing high - quality animal care however you can . your local shelter can always use your help as well ."
30,use stainless steel or ceramic for the water bowl container . make sure the container is over - sized . take care of the condition of your water bowl . dont just use really hot water . change the water frequently . spritz the bowl with a light mist of peroxide after you have cleaned it . give them filtered water .,how to improve the quality of your pets drinking water,"dont use materials like plastic . the bigger the animal , the larger the container should be . dont scrub them with anything abrasive . you want them to stay as pristine as possible . scratches and abrasions will encourage mold and bacteria growth . it doesnt work , unless you are sending it through a commercial level dishwasher which uses soap , anyway . use whatever soap you use , and be sure to rinse it really well . do it at least twice a day . if it is a warm day , they will be needing more water than usual , and no one wants to drink gross water . it helps to ensure that there are fewer germs and parasites for your pets to be exposed to . the tiny amount of hydrogen peroxide that they are exposed to is insignificant . there are more and more things in our water that we dont want in our bodies . if you drink filtered water , so should they ."
31,determine if you can adequately care for a pet . choose a pet that fits your lifestyle . prepare your house for your incoming pet . buy necessary pet supplies in advance . budget enough money for adequate care . schedule regular visits to the vet . make sure your new family member has food that suits their nutritional needs . give your pet your affection and attention . clean your pet and all of its enclosures . do in - depth research about care for your pet .,how to take care of your pet,"while pets are loving additions to your home , they are not always easy to manage . all pets require time , money , and love in addition to the specific needs of each animal and breed . you need to be sure you want a pet not just that day but in the long - term . most pets require attention and maintenance during the day , so make sure youll be home enough to take care of your pet . if you have kids , consider what pets will be kid friendly . hamsters and fish , for example , make great early pets . if you plan on moving or making large lifestyle changes you shouldnt consider a pet until you are more stable . even different types of dogs have different needs , so make sure you pick a pet that suits your means . before buying a pet do thorough research on the behaviors and needs of various pets you like . dont go into this decision dead - set on one species or breed - - being open - minded can lead to happy surprises and the right pet for your family . keep in mind some general concerns with different pets dogs - though dogs vary widely by breed , all dogs need lots of attention , time to exercise , and plenty of room to roam . cats - intelligent and individual , cats will be fine with less supervision , though they still need your love and time to keep from acting out . hamsters , gerbils , ferrets , and rodents - economical and short - living , rodents make good first pets . they often , however , have strong odors . fish - fish need careful monitoring and care to thrive , and wont cuddle anytime soon . think of having a fish like having a garden . lizards - happy on their own and generally easy to care for , lizards do not offer much affection and can be difficult to diagnose when sick . birds - birds can be incredibly messy and are often loud . they are also expensive and occasionally temperamental , especially bigger birds like parrots . curious , food - driven , and unable to listen to your warnings , pets can get into trouble if you dont create boundaries or safe spaces . birds may dart out of open windows , lizards can scamper around the house , and dogs or cats may run into the street . take note of openings your pet could accidentally escape through and make sure you can keep food out of their reach . remove any harmful objects like knives or poisonous food . if you want your animal to have outside time , consider putting in a fence . put aside one room that you can designate as the pets bedroom . aim to adopt your pet during a relatively quiet time in your life so that everyone can avoid undue stress while getting used to each other . talk to the pet store attendants or adoption agencies about things youll need - - housing , toys , grooming supplies , etc . - - and shop before you bring your new pet home . teach your family members how to use everything so that everyone is on the same page . if you have young children you can help them prepare for pet care by feeding a doll or regularly watering plants . pets are not ultra expensive , but that doesnt mean you wont need to spend money . below are some annual cost estimates provided by the aspca dogs - - 600 - 900 , depending on size cats - - 600 rabbit - - 700 rodents - - 300 - 650 , depending on size fish - - 40 small birds - - 400 large birds parrots , macaws - - 700 - 1 , 200 set aside a few hundred dollars in case of emergency veterinary costs . be sure to bring your pet to the vet soon after adopting it as well . just like humans , pets need regular check - ups to spot problems before they become serious conditions . use your first visit to discuss how often you should schedule check - ups and your pets dietary and medical needs . be sure to schedule shots and vaccinations as soon as you can . ask your vet what symptoms to look for if your pet gets sick . spay or neuter dogs and cats to prevent pet over - population . record your vets number as well as the number of a veterinary hospital in case of emergencies . the cheapest food you find may not always be the healthiest . feeding animals table scraps - no matter how cute they are when they beg - is not a good idea since people food often has minerals and items in it that can be harmful to our animal friends . only feed your pet appropriate foods and give them responsible portions . research or ask your vet about good food sources and portion sizes . natural foods , though more expensive , are healthier than dry or processed foods . , though this is certainly true of dogs and cats , even fish and lizards require dedication and love to really thrive . animals are social beings much like humans , and you need to set aside time to play with your pets so they get exercise and mental stimulation . give your pet room to roam - - the bigger the animal , the more room theyll need . buy toys and play - sets for you and your pet to use together . give your pet the occasional treat after good behavior to motivate it and cement good habits . this will keep both you and your pet healthy and happy . create a regular cleaning schedule , at least once every 2 - 3 weeks , and stick to it , cleaning your animal and its living spaces to prevent disease and odor . for larger pets like cats and dogs , there are animal cleaning centers with large tubs and hoses . keep up with regular grooming , such as brushing fur or scrubbing scales , every few days . for dogs and cats , make sure you keep their nails short so they dont break painfully . , while these steps are general guidelines for pet ownership , each animal is different and you need to adapt accordingly . ask friends who have similar pets , check out books from the library , and search internet discussion boards about your breed or species . you can never know too much . be flexible once you bring your pet home . pets have personalities and will have different wants and needs ."
32,"research the type of pet , so you can make sure the pet fits into your environment and lifestyle . choose your breed carefully , especially if you have children . be realistic about your budget , and your ability to shoulder responsibilities . exercise your pet if its the kind of pet that needs it , such as a dog . watch your pets diet carefully . consider whether your pet needs to be groomed . monitor your pet for illness and injury . train your pet if its the kind of pet that needs it . make time for your pet . love your pet .",how to take care of a pet,"it is critical that you do adequate research before buying the pet . different animals have different needs regarding care for example , tropical fish cannot be treated the same way as cold water fish , and even within the same species , different breeds can have different needs . if you are buying a dog , then buying a high energy , large breed such as a wolfhound would be unsuitable if you live in a small apartment or spend all day at work and have nowhere to let the dog roam in the day . focus on the pets needs , not your wants . if you want an animal like a snake instead , research is still important . it is critical that the snake has enough space to crawl around in and a heat source such as a lightbulb . if youre leading an active life , choose a dog . if you are away from home a lot , though , choose a cat or some other free - roaming animal . if you just want an animal to look at and dont want to interact with it directly , or dont have lots of time , choose a fish or a snake , or other creepy - crawlies . its a mistake to just decide i want a dog or any other animal and to buy the animal without considering the needs and requirements of the breed . some breeds are natural shepherds , which makes them great for 1 person , but some breeds border collie , for example have the sheep - herding instinct in their blood . this means that when a child roams too far from the rest of the herd , the collie will try to get it back . how does it do it with the sheep it bites them . this may result in grave injuries to children . please do your research on how breeds behave . it is important that a pet lives in an environment where it will be comfortable , safe and provided with what it needs . some animals are very adaptable , such as cats , which can live happily in environments ranging from farm land to city centers , while others have more specific needs . for example , horses must have a lot of pastureland and somewhere safe to shelter . for animals that will roam the house , not being confined to tanks or cages , they will need places to sleep that are out of the way of general household traffic , where they can lie without being disturbed , such as the corner of a room . if they are a cat that will often be shut indoors , then it is also important that they have a litter tray that is regularly cleaned out . some pets are more expensive than other pets , and you need to be honest with yourself about whether you can afford the pet - and whether you have the time and maturity to handle it . costs associated with pets include set - up supplies . depending on the kind of pet , you might need a crate , an aquarium , and leashes . dont forget the ongoing costs of caring for a pet . you need to factor in the cost of regular food purchases , but also whether you can afford to take your pet to the veterinarian for preventative care like shots , not just emergency care . thats essential to keep the pet healthy , and it can be quite costly . figure out the exercise needs if any of the pet before you buy it , and consider whether your lifestyle gives you enough time to meet them . some pets dont require you to do much beyond providing them with a safe place to move about , such as buying a run for a rabbit , and making sure the tank is large enough for fish . but other pets must be exercised . dogs require a more hands - on approach to exercise because they need to be walked regularly . making sure your pet gets enough exercise can help prevent aggression and destructive behaviors . many foods that are edible for humans can be inappropriate for animals , making them ill when they consume them , so it is important to research what foods your pet can not eat as well as those they can eat . overfeeding is as harmful as underfeeding , so it is important that your pet gets the amount of food it needs and not too much extra . for some animals , dietary requirements may change with the season for example , if you have horses or other grazing animals , they will often require more hay during the seasons when there is less grass . look at pet food labels to make sure you are purchasing food for your pet that is properly nutritious . research which food could harm your pet . it is vital that all pets have a constant water supply . check water bowls at least once a day to ensure that they have enough water and that the water is clean and not contaminated . many animals will largely take care of themselves , only really needing to be groomed or bathed when they manage to get very messy . others , such as long - haired dogs or cats , may need regular grooming . it is a good idea to desensitize your pet to being groomed or bathed from an early age . when brushing fur , ensure any brush used on the face is soft , and if brushing long , tangled fur , take the time to work out knots gently rather than tugging . you can buy brushes for pets at pet stores . when bathing your pet , make sure that the water is lukewarm and that the products you use do not cause an allergic reaction - buying specialist shampoos is not always necessary , but heavily perfumed products may cause a rash for many animals . consider taking your pet to a professional groomer if you arent sure you are competent to do it . you dont want to accidentally injure the pet . as pets cannot tell us when they are ill or injured , it is up to us to keep an eye on them and look out for any signs of injury . knowing your pets normal behavior is very important if they are sick or injured , they will often act unusually , such as sleeping more , going off their food , etc . if they begin to act oddly , check them for any injuries and keep an eye on their food and water intake if they stop eating or drinking , or they have obvious wounds that are concerning you , then take them to the vet . make sure that your pet has all of the proper vaccines and other preventative medication suggested by your veterinarian , such as heart worm pills for some dogs . a major part of caring for a pet is training . training is essential for the safety of the animal and the people who interact with it . if you have an apartment cat , the litter box is very important from the start . you have to teach your cat to use the litter box and to think of it as its only place to do the necessary business . the litter box needs frequent cleaning once or twice a day , depending on the cat . feeding is approximately 2 or 3 times a day , again , depending on the cat . water should be supplied continuously . dogs need to be trained so they understand proper behavior , such as where to go to the bathroom and not to jump on people when they enter the house . its important that the owner establishes control , but never in an abusive or harmful way to the animal . some animals require more attention than others , so the amount of time they need is often relative . just be sure than you are capable of fulfilling whatever that need may be . try to take a little time out of each day to spend with your pet , even if its just sitting down with them . more often than not , your pet would be more than happy to relax with you . dogs should be walked , and hamsters need time to run around in their balls . play should be fun for both your pet and you , but make sure it is safe and monitored at all times . research whether your pet breed needs to socialize with other animals . play with it - dogs are very social animals so they need to spend time with their owners . with toys or simply chasing him around is enough for exercising . dogs have a natural craving for chewing things , so buy a chewing toy to keep him entertained . love is what your relationship with your pet has to be about . show him or her your affection by petting and playing . your pet will be a member of your family , so treat it like one . a good cuddle will do the both of you good . pets respond to the tone of peoples voices as well as touch . horses need attention . like wild horses , if you dont love them properly , they pretty much turn into mustang . give them a treat once in a while , take a walk with them , or ride them for fun . train a pet with positive reinforcement , never cruelty or abuse . keep your pet and its environment clean . if you have a small animal , clean their cage weekly . youre not showing your pet love if you let it sit in filth . if you have a dog , vacuum fur regularly from the house and wash their dog bed from time to time . neglecting to clean your pet could result in infection , so keep on top of its cleanliness"
33,"remember that they too are living things . if small animal dont make them live in a small cage choose a big cage , or even make one  treat them like your family . understand them . take control of their stuff , rather than hiring a person to look after them . give them freedom . let them do what they want .",how to keep a pet,"you must always keep in mind that your pet has feelings . just like you , they want freedom , good food , entertainment and may have acute feelings like sorrow , happiness etc . a pet may not be a human but its feelings and needs are very similar . they may not be able to express their feelings to us but they feel just like us and they enjoy and suffer , just like you and me . , it is your duty and responsibility to see that they dont feel as if they are different or that they suffer from loneliness or sorrow . you must take and treat them as a family member , loving and caring for them as if it was brother , sister , son or daughter . read and learn about your pet . this way you will be able to understand his or her needs . try to understand his or her body language . spending more time with him or her will strengthen your relationship and allow you to understand your pet better . a pet who is comfortable in new surroundings will not be active and may be defensiveaggressive . these pets are ideal for families or the elderly . on the other hand , curious and active personalities are not submissive and are ideal for families without children below 10 years old . unless your pet will be alone for a long period pf time , examples would be for an entire day or a few days at length . allow your pet to enjoy his freedom . dont disturb his or her sleep and try not to leave them in a closed atmosphere . allow your pet to come in contact that is harmful , try not to disturb as he might have a reason but he is unable to express it ."
34,"make a living space for them . get feeding supplies . secure the area . buy a water tank . be prepared to clean droppings . dont forget to love them , finally , have overall common sense",how to take care of outdoor exotic animals,"not only do you need to make a nice living space for your animals before you even get them but you need to follow and , most often , exceed local or federal laws about minimally required spaces for each species . depending on the type of exotic pet , find an empty pasture or clear a space on your property thats about one acre long . fence the area and remove any hazardous items . buy or make a gate for the front of the pasture . then build a shelter for them to sleep and escape from rain , hail , snow and other adverse weather conditions . make sure its the right height , especially for a llama a good house for an exotic animal is about 10 feet 3 . 0 m by ten feet . several animals can fit in it its easier to make it a three - sided house so you dont have to mess with a door . this includes a place to store the food , like a new metal trash can , something to carry the food in , like a pitcher , and a hay feeders with several areas for eating with trays underneath to put the food in . you can make one yourself or buy one at a farm store . buy a padlock and secure the gate on the pasture . always keep the key in the same place , and check the lock after each time you feed the animals . make sure it doesnt have any cracks or holes in it , rinse it out with a hose , and watch your animals sip their drinks these should be emptied of contaminated water away from feeding areas , scrubbed clean all over with a small amount of bleach and a stiff brush , rinsed until you can no longer taste or smell any trace of bleach or fecal matter whatsoever , and refilled with clean , pure water . clean the droppings out of the pasture , animal housing , common areas and , especially , feeding areas daily with a rake and snow shovel , dumping it into a wheelbarrow . then rinse any wooden or paved areas with water and squeegee the area dry . dont make your animals sleep or live on wet floors no matter what the season . clear away all food left out the previous day from all areas before putting out fresh food and water . carefully clean all water containers that might have gotten droppings , food , or other contamination in them . pet them every day and give them hugs and kisses . gently brush their fur and feed them out of your hand . make sure your animals have lots of safe , interesting toys and other enrichment like new things to smell or play with everyday . dont leave enrichment with an animal for more than 3 - 4 days at a time and clean all toys , etc . thoroughly with a small amount of bleach , lots of water , and a stiff brush before storing it or giving it to any other animal . caring for exotic animals of any species is very hard work but , when done with dedication and love can be a great experience for you and your animals . if it bites , approach it carefully ."
35,try a pet sitter . ask a friend or neighbor to check on your pet . take your pet to a boarding kennel . try home boarding .,how to leave your pets alone while on vacation 2,"having someone come to your home will allow your pet to be comfortable in its usual environment . decide how often your sitter will visit your pet . will the sitter come by once a day or multiple times a dayits best to use a professional sitter . professional pet sitters can be found on the national association of professional pet sitters nappsor professional pet sitters inc . pet sitters are also ideal for cats , who prefer to stay in their home environment and find being away from home stressful . have a back up sitter in case of emergency . leave your pet at home and have a neighbor or friend come and check on your pet from time to time . introduce your pet to your neighbor or friend so your pet is comfortable . try taking a walk with your pet and the friend or have your friend over for a meal . find out how much experience your friend or neighbor has with pets . you could also have your pet stay at the friends or neighbors house . if you are taking your pet to someone elses home , bring something from your home that will make your pet feel comfortable e . g . bed , blanket , favorite toy . you can make arrangements to take your dog to a kennel . make sure the kennel is certified by the international boarding  pet services association ibpsa . other questions you should ask the kennel include the staff - to - pet ratio , clean and secure facility , climate controlled , frequency of exercise for the animals , grooming options , where will your pet be housed e . g . individual crate or suite , and how much interaction your pet will have with other animals . dogs do well at kennels because they are social animals . its best to visit the kennel before you make arrangements for your pet to stay there . you want to be comfortable with wherever your pet is staying . leave your contact information and your veterinarians contact information with people at the kennel . some individuals will offer boarding for a small number of animals in their home . this is good for animals who like to socialize and be with other animals . this setting is more intimate than a traditional boarding kennel . ask your veterinarian for a referral . evaluate the in - home boarding place the same way you would evaluate any other boarding kennel . dog vacayand roverare good places to find in - home boarding for your dog . go and check out the facility before you send your pet there ."
36,relocate your caged pet . choose an environment that is similar to your home . get an in - home sitter for birds and cats . take your pet to a kennel .,how to leave your pets alone while on vacation 3,"caged animals such as hamsters , guinea pigs , rodent , reptiles , and amphibians can be taken to a friends or sitters home . create a document that outlines the feeding and water needs , cleaning schedule , and temperature control . pack all of the things that mimic your pets environment at your home such as bedding , heated surfaces , and decorations . if the cage is not mobile , someone will need to come check on your pet daily . a rabbit , ferret , or guinea pig is live bait in the wild . relocating your pet to a home with canines or young children can be stressful and dangerous for your pet . if your pet is used to being in a quiet home with only adults , find a place that mimics that . the relocation environment is extremely important . your pet can become disoriented and possibly sick from sudden lifestyle changes . birds and cats enjoy being in consistent , familiar environments . birds may become restless and pluck their own feathers in unfamiliar environments . similarly , cats can become distressed in different environments . its best to find a sitter to stay in your home or stop by your home every day . if you have a bird , make sure that the sitter is comfortable and knowledgeable about birds . cats should not be left alone at someone elses home . they are likely to wander , escape , and try to return home . a kennel should be the last resort for this type of pet . make sure the kennel you choose caters to your pet . if your pet will be at a kennel that also houses dogs and cats , it is best if it will be housed in a separate area . always check out the kennel before you allow your pet to stay there . ask your veterinarian about boarding options for this type of pet . some veterinarians provide boarding services as well ."
37,make your home comfortable . pet - proof your home . use an automatic feeder . consider a pet camera .,how to leave your pets alone while on vacation 4,"if your pet will be staying at home on its own , keep the thermostat at a comfortable temperature for your pet . maintain the thermostat as if you were still at your house . close the doors to any rooms that you do not want your pet to get into . make sure that your pet has a good bed and way to go to the bathroom doggy door or litter box . leave food and water for your pet in a familiar place . your home should be safe if you have a pet that roams freely throughout the house . keep trash cans , toilets , and heatingair vents covered . move any plants that may be poisonous , household cleaners , medications , and chemicals to higher shelves . put away any toys , games , magazines , arts and crafts supplies , food , and household knick - knacks or decorations that may be tempting to your pet . hide your clothing and shoes from your pet as well . if you must leave your pet alone for a few days , use an automatic feeder . an automatic feeder will portion out your pets food as many times a day as necessary . this will keep your pet from overeating . also , some pets , such as cats , prefer eating fresh foods and would not be happy with a huge bowl of food left out . there are automated feeders for both food and water . if you have no one to check on your pet while you are away , a pet camera will allow you to monitor your pet . some of these tools will allow you to interact with your pet as well . if you are unable to purchase a camera , there are surveillance apps that are more affordable ."
